scenario_id,runtime,achieved_qps,latency_avg_ms,queries_sent,queries_completed,queries_lost,workers
feature-tax-metrics-off-forward-fast,sync,75940.7,26.3,761386,761386,0,ingress_workers=2
feature-tax-tracing-on-forward-fast,sync,48719.5,40.9,489630,489630,0,ingress_workers=2
