posture,scenario_id,achieved_qps,latency_avg_ms,queries_sent,queries_completed,queries_lost
metrics_off,feature-tax-metrics-off-forward-fast,75462.4,4.0,758529,755155,3400
standard_scrape,feature-tax-metrics-standard-scrape-forward-fast,69628.0,4.5,700042,696579,3377
dnstap_full,feature-tax-dnstap-full-forward-fast,67178.8,4.4,675731,672299,3432
standard_dnstap_full,feature-tax-metrics-standard-dnstap-full-forward-fast,63336.3,4.5,637160,633740,3430
