posture,scenario_id,achieved_qps,latency_avg_ms,queries_sent,queries_completed,queries_lost
metrics_off,feature-tax-metrics-off-forward-fast,138760.8,2.0,1391423,1387890,3449
standard_scrape,feature-tax-metrics-standard-scrape-forward-fast,121399.7,2.3,1217696,1214291,3449
scrape_hammer,feature-tax-metrics-standard-scrape-hammer-forward-fast,117989.8,2.4,1183610,1180188,3441
