scenario_id,runtime,achieved_qps,latency_avg_ms,queries_sent,queries_completed,queries_lost,workers
scale-sync-forward-slow,sync,5.7,2509.5,12188,198,11990,ingress_workers=2
scale-split-io-forward-slow,,,,,,,
