scenario_id,runtime,achieved_qps,latency_avg_ms,queries_sent,queries_completed,queries_lost,workers
feature-tax-metrics-no-collect-forward-fast,sync,73196.2,3.8,735710,732262,3448,ingress_workers=2
feature-tax-metrics-collect-only-forward-fast,sync,69667.4,4.0,700420,696976,3448,ingress_workers=2
feature-tax-metrics-collect-emit-forward-fast,sync,70134.9,4.0,705169,701692,3439,ingress_workers=2
