scenario_id,runtime,achieved_qps,latency_avg_ms,queries_sent,queries_completed,queries_lost,workers
scale-sync-forward-fast,sync,74932.5,3.6,753275,749881,3465,2
scale-split-io-forward-fast,split_io,140686.6,1.4,1424907,1421028,3879,2/2/2
