scenario_id,runtime,achieved_qps,latency_avg_ms,queries_sent,queries_completed,queries_lost,workers
feature-tax-metrics-off-split-io-forward-fast,split_io,373534.0,2.6,3738747,3736729,2018,"ingress_workers=2, policy_workers=2, io_workers=2"
feature-tax-metrics-standard-scrape-split-io-forward-fast,split_io,284907.8,3.7,2852838,2850456,1822,"ingress_workers=2, policy_workers=2, io_workers=2"
