drain_policy,scenario_id,drain_duration_ms,client_failures_during_stop,achieved_qps,latency_avg_ms,queries_sent,queries_completed
drain_complete,shutdown-drain-complete-forward-slow,113.8,298,6.6,1008.6,377,79
drain_budgeted,shutdown-drain-budgeted-forward-slow,163.6,200,10.2,1020.7,282,82
drain_minimal,shutdown-drain-minimal-forward-slow,63.4,200,9.7,900.3,278,78
