posture,scenario_id,achieved_qps,latency_avg_ms,queries_sent,queries_completed,queries_lost
no_collect,feature-tax-metrics-no-collect-forward-fast,72940.1,27.3,732015,732015,0
collect_only,feature-tax-metrics-collect-only-forward-fast,69562.3,28.7,697649,697649,0
collect_emit,feature-tax-metrics-collect-emit-forward-fast,68561.9,29.1,687918,687918,0
