posture,scenario_id,achieved_qps,latency_avg_ms,queries_sent,queries_completed,queries_lost
metrics_off,feature-tax-metrics-off-split-io-forward-fast,147740.6,1.6,1496150,1492215,3764
standard_scrape,feature-tax-metrics-standard-scrape-split-io-forward-fast,149292.0,1.6,1511135,1507307,3738
