posture,scenario_id,achieved_qps,latency_avg_ms,queries_sent,queries_completed,queries_lost
metrics_off,feature-tax-metrics-off-scrape-ladder-forward-fast,69443.0,2.5,698389,694725,3664
minimal_scrape,feature-tax-metrics-minimal-scrape-ladder-forward-fast,71784.8,4.3,721553,718176,3401
standard_scrape,feature-tax-metrics-standard-scrape-ladder-forward-fast,66823.7,2.9,672247,668583,3664
