scenario_id,runtime,achieved_qps,latency_avg_ms,queries_sent,queries_completed,queries_lost,workers
feature-tax-dnstap-off-forward-fast,sync,75250.1,4.0,756222,752823,3399,ingress_workers=2
feature-tax-dnstap-sampled-forward-fast,sync,72484.3,4.3,728574,725189,3385,ingress_workers=2
feature-tax-dnstap-full-forward-fast,sync,67178.8,4.4,675731,672299,3432,ingress_workers=2
