posture,scenario_id,achieved_qps,latency_avg_ms,queries_sent,queries_completed,queries_lost
metrics_off,feature-tax-metrics-off-scrape-ladder-forward-fast,76124.1,26.2,763843,763843,0
minimal_scrape,feature-tax-metrics-minimal-scrape-ladder-forward-fast,73038.1,27.3,732337,732337,0
standard_scrape,feature-tax-metrics-standard-scrape-ladder-forward-fast,70157.8,28.4,703550,703550,0
