posture,scenario_id,achieved_qps,latency_avg_ms,queries_sent,queries_completed,queries_lost
metrics_off,feature-tax-metrics-off-split-io-forward-fast,146802.2,13.6,1469986,1469986,0
standard_scrape,feature-tax-metrics-standard-scrape-split-io-forward-fast,139823.3,14.3,1400096,1400096,0
