scenario_id,category,cache_fill_duration_mean_ms,cache_fill_samples,cache_eviction_duration_mean_ms,cache_eviction_samples,achieved_qps
scale-sync-ingress-8-memory-cache-churn,memory,0.0005,1171660,0.0003,1164824,232253.7
scale-sync-ingress-8-lmdb-full-cache-churn,full,2.8751,16919,1.6619,14884,2767.2
scale-sync-ingress-8-lmdb-no_meta-cache-churn,no_meta,1.9188,25094,1.0409,23629,4379.2
scale-sync-ingress-8-lmdb-periodic-cache-churn,periodic,0.0129,956085,0.0068,954046,191677.2
scale-sync-ingress-8-lmdb-none-cache-churn,none,0.0124,885112,0.0065,883086,176805.2
